,tipo_precio
0,bajo
1,bajo
2,bajo
3,bajo
4,bajo
5,bajo
6,bajo
7,bajo
8,bajo
9,bajo
10,bajo
11,bajo
12,bajo
13,bajo
14,bajo
15,bajo
16,bajo
17,bajo
18,bajo
19,bajo
20,bajo
21,bajo
22,bajo
23,bajo
24,bajo
25,bajo
26,bajo
27,bajo
28,bajo
29,bajo
30,bajo
31,bajo
32,bajo
33,bajo
34,bajo
35,bajo
36,bajo
37,bajo
38,bajo
39,bajo
40,bajo
41,bajo
42,bajo
43,bajo
44,bajo
45,bajo
46,bajo
47,bajo
48,bajo
49,bajo
50,bajo
51,bajo
52,bajo
53,bajo
54,bajo
55,bajo
56,bajo
57,bajo
58,bajo
59,bajo
60,bajo
61,bajo
62,bajo
63,bajo
64,bajo
65,bajo
66,bajo
67,bajo
68,bajo
69,bajo
70,bajo
71,bajo
72,bajo
73,bajo
74,bajo
75,bajo
76,bajo
77,bajo
78,bajo
79,bajo
80,bajo
81,bajo
82,bajo
83,bajo
84,bajo
85,bajo
86,bajo
87,bajo
88,bajo
89,bajo
90,bajo
91,bajo
92,bajo
93,bajo
94,bajo
95,bajo
96,bajo
97,bajo
98,bajo
99,bajo
100,bajo
101,bajo
102,bajo
103,bajo
104,bajo
105,bajo
106,bajo
107,bajo
108,bajo
109,bajo
110,bajo
111,bajo
112,bajo
113,bajo
114,bajo
115,bajo
116,bajo
117,bajo
118,bajo
119,bajo
120,bajo
121,bajo
122,bajo
123,bajo
124,bajo
125,bajo
126,bajo
127,bajo
128,bajo
129,bajo
130,bajo
131,bajo
132,bajo
133,bajo
134,bajo
135,bajo
136,bajo
137,bajo
138,bajo
139,bajo
140,bajo
141,bajo
142,bajo
143,bajo
144,bajo
145,bajo
146,bajo
147,bajo
148,bajo
149,bajo
150,bajo
151,bajo
152,bajo
153,bajo
154,bajo
155,bajo
156,bajo
157,bajo
158,bajo
159,bajo
160,bajo
161,bajo
162,bajo
163,bajo
164,bajo
165,bajo
166,bajo
167,bajo
168,bajo
169,bajo
170,bajo
171,bajo
172,bajo
173,bajo
174,bajo
175,bajo
176,bajo
177,bajo
178,bajo
179,bajo
180,bajo
181,bajo
182,bajo
183,bajo
184,bajo
185,bajo
186,bajo
187,bajo
188,bajo
189,bajo
190,bajo
191,bajo
192,bajo
193,bajo
194,bajo
195,bajo
196,bajo
197,bajo
198,bajo
199,bajo
200,bajo
201,bajo
202,bajo
203,bajo
204,bajo
205,bajo
206,bajo
207,bajo
208,bajo
209,bajo
210,bajo
211,bajo
212,bajo
213,bajo
214,bajo
215,bajo
216,bajo
217,bajo
218,bajo
219,bajo
220,bajo
221,bajo
222,bajo
223,bajo
224,bajo
225,bajo
226,bajo
227,bajo
228,bajo
229,bajo
230,bajo
231,bajo
232,bajo
233,bajo
234,bajo
235,bajo
236,bajo
237,bajo
238,bajo
239,bajo
240,bajo
241,bajo
242,bajo
243,bajo
244,bajo
245,bajo
246,bajo
247,bajo
248,bajo
249,bajo
250,bajo
251,bajo
252,bajo
253,bajo
254,bajo
255,bajo
256,bajo
257,bajo
258,bajo
259,bajo
260,bajo
261,bajo
262,bajo
263,bajo
264,bajo
265,bajo
266,bajo
267,bajo
268,bajo
269,bajo
270,bajo
271,bajo
272,bajo
273,bajo
274,bajo
275,bajo
276,bajo
277,bajo
278,bajo
279,bajo
280,bajo
281,bajo
282,bajo
283,bajo
284,bajo
285,bajo
286,bajo
287,bajo
288,bajo
289,bajo
290,bajo
291,bajo
292,bajo
293,bajo
294,bajo
295,bajo
296,bajo
297,bajo
